Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
163452,000001A1,false,Rx,0,5,95,C0,00,00,81,00,00,00,
165665,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
165669,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
165671,00000293,false,Rx,0,5,8A,A5,FE,FF,14,00,00,00,
166648,0000019F,false,Rx,0,6,34,F1,F9,7F,00,10,00,00,
168152,0000036F,false,Rx,0,5,D5,F5,FE,FF,14,00,00,00,
168156,000001DB,false,Rx,0,8,8C,00,0A,6E,50,08,1A,FF,
168159,00000065,false,Rx,0,8,3D,83,00,03,FF,FF,FF,FF,
168162,000001F6,false,Rx,0,2,80,D0,00,00,00,00,00,00,
168165,000002E0,false,Rx,0,6,9E,F6,75,40,24,FF,00,00,
169311,000002EB,false,Rx,0,8,35,F4,11,11,11,62,11,FF,
170453,000000D9,false,Rx,0,8,F8,FD,00,10,00,F0,7F,CF,
170457,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
170458,000000FA,false,Rx,0,8,03,10,08,02,38,59,28,CA,
170460,000001AE,false,Rx,0,3,07,65,1A,00,00,00,00,00,
171696,00000284,false,Rx,0,8,C8,80,0C,FF,FF,FF,FF,0F,
171699,000001E4,false,Rx,0,8,0A,00,61,61,11,11,11,11,
171701,000003D2,false,Rx,0,2,F3,FF,00,00,00,00,00,00,
171703,00000426,false,Rx,0,4,FF,FF,FF,F0,00,00,00,00,
171705,00000438,false,Rx,0,4,FF,FF,FF,F0,00,00,00,00,
176693,00000199,false,Rx,0,6,13,F2,EB,7E,00,20,00,00,
176697,0000019A,false,Rx,0,6,E8,F2,3B,7F,00,10,00,00,
176701,0000028E,false,Rx,0,5,54,D5,FE,FF,14,00,00,00,
178308,000001D6,false,Rx,0,3,C0,C0,FF,00,00,00,00,00,
178310,00000096,false,Rx,0,8,64,00,54,AA,01,FF,FF,FF,
179636,00000376,false,Rx,0,3,1E,14,11,00,00,00,00,00,
179640,00000138,false,Rx,0,8,FF,FF,FF,FF,FF,FF,FF,FF,
179645,000000D9,false,Rx,0,8,1F,FE,00,10,00,F0,7F,CF,
180706,000000A5,false,Rx,0,8,FB,07,FF,F7,FF,00,00,C1,
180709,00000294,false,Rx,0,5,C8,CD,FE,FF,14,00,00,00,
180710,000000A7,false,Rx,0,7,F5,F7,FF,F0,FF,FF,0F,00,
180712,000000DC,false,Rx,0,6,3C,07,22,D0,07,EE,00,00,
181745,00000163,false,Rx,0,8,F3,F2,04,25,13,15,04,F5,
181749,00000302,false,Rx,0,7,2E,F2,B6,6F,01,00,00,00,
183594,000001A1,false,Rx,0,5,08,C1,00,00,81,00,00,00,
183597,00000197,false,Rx,0,4,B7,0C,FE,FC,00,00,00,00,
185796,00000083,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
185799,00000254,false,Rx,0,8,FF,7F,FF,7F,FF,7F,FF,7F,
185800,0000019F,false,Rx,0,6,AE,F3,FD,7F,00,10,00,00,
186922,00000301,false,Rx,0,7,07,C3,04,72,FF,FF,2F,00,
188375,0000012F,false,Rx,0,8,5B,7C,FA,DD,FF,FF,FF,00,
190326,000003F9,false,Rx,0,8,59,F1,00,73,3E,30,33,00,
190329,000000D9,false,Rx,0,8,1E,F0,00,10,00,F0,7F,CF,
191299,000002AE,false,Rx,0,8,FF,00,FF,64,FF,AF,64,00,
191303,00000173,false,Rx,0,8,38,F1,00,02,20,00,D2,98,
191305,000003E9,false,Rx,0,8,FF,FF,0F,FF,FF,FF,FF,FF,
191308,000000FA,false,Rx,0,8,05,86,12,08,76,76,76,00,
191311,00000287,false,Rx,0,8,C1,0C,FE,F0,3D,FF,30,FD,
192548,00000510,false,Rx,0,8,40,10,00,02,02,92,01,00,
192552,000002A7,false,Rx,0,5,A9,FB,FE,FF,14,00,00,00,
193695,0000008F,false,Rx,0,8,FF,FF,00,7D,F2,FF,FF,FF,
196740,00000199,false,Rx,0,6,72,F4,EB,7E,00,20,00,00,
196742,0000019A,false,Rx,0,6,EF,F4,4A,7F,00,10,00,00,
198231,000000C8,false,Rx,0,8,70,FF,FF,FF,FF,FF,FF,FF,
198235,00000314,false,Rx,0,5,50,80,1D,FF,FF,00,00,00,
199252,0000037F,false,Rx,0,2,FF,F0,00,00,00,00,00,00,
199254,000001C0,false,Rx,0,8,36,3D,00,40,63,55,55,57,
200392,000000D9,false,Rx,0,8,43,F1,00,10,00,F0,7F,CF,
200394,000000A5,false,Rx,0,8,A7,08,FF,F7,FF,00,00,C1,
200396,0000006E,false,Rx,0,8,00,13,09,16,09,00,00,FF,
200399,000000A7,false,Rx,0,7,30,F8,FF,F0,FF,FF,0F,00,
200401,0000006F,false,Rx,0,8,08,13,09,00,63,43,3B,FC,
201570,000000DC,false,Rx,0,6,40,08,22,D0,07,EE,00,00,
201576,00000201,false,Rx,0,8,A5,B8,D6,C7,00,FF,F0,FF,
201579,00000297,false,Rx,0,7,B9,FC,F0,E0,F0,F0,A8,00,
201582,000003B4,false,Rx,0,8,FF,FF,FC,FF,F8,F8,00,FF,
